city/district,waste_type,waste_generated_(tons/day),recycling_rate_(%),population_density_(people/km²),municipal_efficiency_score_(1_10),disposal_method,cost_of_waste_management_(₹/ton),awareness_campaigns_count,landfill_name,"landfill_location_(lat,_long)",landfill_capacity_(tons),year,waste_reduction_initiatives,industrial_symbiosis_index,community_participation_score,green_technology_adoption,recycling_infrastructure_rating
Jaipur,Construction,9043,54,2335,9,Composting,4211,19,Jaipur Landfill,"11.6909, 94.4267",71127,1970,9.207962484443394,6.798626428643681,5.236414157040192,5.695926387143503,54.64157145186537
Ludhiana,Hazardous,1636,66,8678,9,Recycling,1708,4,Ludhiana Landfill,"10.3062, 77.427",69241,1970,3.604780587197873,8.029929489308238,2.715180374281452,6.32999375396324,66.17339539882879
Chennai,Hazardous,3096,45,21430,8,Composting,896,19,Chennai Landfill,"29.4633, 80.8873",65486,1970,8.46898288834765,7.489966032553176,9.16633808718326,4.737426085770677,43.87878472630538
Gwalior,E-Waste,6318,66,11280,9,Composting,3620,3,Gwalior Landfill,"10.9566, 91.6565",54460,1970,3.0913526255420307,6.65868775689483,2.784593244573744,6.740965528098758,64.98157327480173
Ahmedabad,E-Waste,2458,58,9464,7,Landfill,1591,4,Ahmedabad Landfill,"19.3868, 72.7845",69399,1970,3.147450953820132,7.459926819851416,2.664874362429876,5.867727317931054,59.37413159171784
Mumbai,Hazardous,7077,70,11191,9,Incineration,2850,5,Mumbai Landfill,"22.4265, 77.4931",45575,1970,3.865353195613675,5.764514301386676,3.304382859333976,7.337119627830653,71.01193110691173
Ahmedabad,Organic,3467,42,9464,10,Composting,2845,19,Ahmedabad Landfill,"19.3868, 72.7845",69399,1970,9.694016197953731,2.308448194959761,6.444422546302372,3.875491627381357,42.62626428002631
Jodhpur,Construction,6671,33,6465,5,Landfill,4664,0,Jodhpur Landfill,"8.9824, 77.0472",45318,1970,1.0747321734755706,7.281264201053206,1.4345355474074668,2.850622472269074,35.01894357719194
Surat,Hazardous,3540,51,24032,7,Landfill,4362,4,Surat Landfill,"32.805, 89.0238",38471,1970,2.8895731363279107,7.021392651534604,6.218331175372004,5.510605717214422,51.79163956219185
Bhopal,Plastic,3735,47,4071,10,Landfill,4938,14,Bhopal Landfill,"18.3203, 75.8314",83130,1970,7.378542116213933,8.403039597271288,4.077412334554102,4.319891093472712,49.02527481928814
Amritsar,Construction,9144,39,12612,8,Landfill,4250,13,Amritsar Landfill,"22.6059, 88.4682",31477,1970,6.2985187521764265,9.442161191660224,5.5288299441556426,4.088045557074129,35.31241283303851
Hyderabad,E-Waste,2765,39,7927,7,Recycling,1602,15,Hyderabad Landfill,"34.069, 82.1518",34239,1970,6.816779080839784,7.499706012362922,4.913952709560413,3.7262539180411465,42.0603903977267
Ranchi,Plastic,9164,69,17422,5,Composting,4385,14,Ranchi Landfill,"13.4978, 84.8338",98646,1970,6.302185322831831,8.920867355881507,6.922041123196814,6.439269414241653,68.25628423544266
Meerut,E-Waste,936,55,7178,8,Composting,1580,2,Meerut Landfill,"14.3552, 72.9863",56989,1970,2.5537148486834327,6.650579796313484,1.6726786884956055,5.765363363858041,54.03833242097604
Lucknow,Hazardous,3455,81,23465,10,Composting,2559,15,Lucknow Landfill,"10.3904, 81.8808",80251,1970,7.445691993054871,5.770847729143333,8.569028175945249,8.360575642455283,81.67228992605246
Surat,Organic,7984,36,24032,9,Composting,3024,2,Surat Landfill,"32.805, 89.0238",38471,1970,2.8638416698114257,2.73864766381864,5.228676779603608,3.1496143733388373,34.10421456546203
Thiruvananthapuram,Plastic,3990,65,18418,10,Recycling,4017,7,Thiruvananthapuram Landfill,"17.2935, 83.4447",30373,1970,5.119414806980747,8.72286151092472,5.347300172175974,6.214695887463355,63.00970303629324
Bengaluru,Plastic,5280,68,18195,9,Landfill,2386,10,Bengaluru Landfill,"15.7581, 85.4837",52609,1970,5.896804454992538,8.547344107761363,6.574510035025009,6.319144867996837,64.44797649190319
Jodhpur,Plastic,5660,76,6465,5,Composting,4168,4,Jodhpur Landfill,"8.9824, 77.0472",45318,1970,2.528780936780498,8.622646864642682,2.1158878859597423,8.07380041335715,75.47468095936766
Madurai,Hazardous,8006,46,19454,9,Recycling,1181,19,Madurai Landfill,"13.1884, 95.8263",51929,1970,8.95542694616212,6.932739491992322,8.500992715866436,4.656578428502153,46.44311694724842
Indore,Organic,725,79,2929,9,Composting,4952,12,Indore Landfill,"24.6237, 95.1044",61142,1970,6.776417244511287,5.890895470439972,3.454737757837431,7.857928994434028,79.03522650386732
Kolkata,Plastic,1267,51,17335,7,Incineration,4565,9,Kolkata Landfill,"16.068, 72.6096",80985,1970,5.059146658958683,8.774446045558916,5.6519509449486645,5.537965231433894,50.56269344512993
Lucknow,Hazardous,6073,36,23465,7,Landfill,4873,6,Lucknow Landfill,"10.3904, 81.8808",80251,1970,3.6321899368666544,8.923519042955768,6.8768515842455775,3.307540936205704,33.041111553720555
Agra,Construction,4511,58,4629,8,Incineration,1093,12,Agra Landfill,"32.4069, 92.1176",82082,1970,6.118599530236761,5.906916244269451,3.789833420858269,5.9193899693665015,57.35940439092671
Indore,Hazardous,1504,78,2929,5,Incineration,1458,2,Indore Landfill,"24.6237, 95.1044",61142,1970,1.7033560311899998,6.24974890214762,1.4164667094592462,7.352765257859602,79.6465598313554
Jabalpur,Plastic,3957,40,7118,6,Composting,872,15,Jabalpur Landfill,"20.0639, 89.516",63720,1970,6.601596633734475,7.6512793087657265,5.453679829469165,4.014461327739894,43.2592842622256
Amritsar,Organic,7339,39,12612,5,Recycling,1129,18,Amritsar Landfill,"22.6059, 88.4682",31477,1970,7.795021310350646,3.237067949844968,7.58158234664174,4.297964646847788,41.00326365041712
Gwalior,Construction,7388,74,11280,8,Landfill,3177,6,Gwalior Landfill,"10.9566, 91.6565",54460,1970,4.106443401533259,8.771835717500014,3.4352557858660098,7.366181591127557,72.30728056022605
Amritsar,Organic,1371,68,12612,5,Recycling,3410,19,Amritsar Landfill,"22.6059, 88.4682",31477,1970,8.011082208632306,4.182283635024521,7.820735060481318,6.9035288065011216,68.60340001780347
Guwahati,E-Waste,4047,58,22866,6,Recycling,4462,3,Guwahati Landfill,"19.7894, 85.8429",60935,1970,2.393374733943224,7.059621920972012,5.0195635624227934,5.850663379440851,58.84038308578998
Rajkot,E-Waste,581,64,23232,10,Recycling,1245,12,Rajkot Landfill,"30.6193, 68.7432",62818,1970,6.93755318640987,7.450576289248251,7.539807373489948,5.950416773602209,64.55853567643305
Vadodara,Organic,3591,71,21598,5,Recycling,3317,12,Vadodara Landfill,"31.3853, 71.6585",24927,1970,5.76489971965314,3.8340077756253264,7.793595359260352,6.632659060784496,70.348777895703
Mumbai,E-Waste,8162,53,11191,8,Incineration,3390,13,Mumbai Landfill,"22.4265, 77.4931",45575,1970,6.7573559856280765,6.662106642109688,5.886589071527198,5.79889261203329,53.1571540594383
Lucknow,Hazardous,5427,49,23465,9,Landfill,1299,16,Lucknow Landfill,"10.3904, 81.8808",80251,1970,8.064946913635755,6.85277569137493,8.591217755687554,5.027328935090678,46.55420996088887
Meerut,Construction,4476,36,7178,5,Recycling,3950,12,Meerut Landfill,"14.3552, 72.9863",56989,1970,5.339229374242191,7.560710175421939,4.687375023266482,3.353026340920253,37.39233599431858
Allahabad,Hazardous,2461,39,19181,9,Incineration,1811,8,Allahabad Landfill,"35.9642, 87.6951",35432,1970,4.8294406705058766,5.7052541327049004,6.381130222945027,3.533209924136629,40.78260737373951
Madurai,E-Waste,8320,53,19454,10,Incineration,2290,14,Madurai Landfill,"13.1884, 95.8263",51929,1970,7.690204557426237,8.60827619953564,7.532614633348381,5.745924644032087,51.6036006507779
Ahmedabad,Hazardous,7540,78,9464,6,Recycling,3134,7,Ahmedabad Landfill,"19.3868, 72.7845",69399,1970,3.99729812619721,9.1327938579678,3.8549959854593343,7.961667259629189,83.02311310316885
Thiruvananthapuram,E-Waste,2323,84,18418,8,Recycling,907,12,Thiruvananthapuram Landfill,"17.2935, 83.4447",30373,1970,6.312155515842122,6.531292694372784,6.41042985093763,7.910811083635197,83.08430322763502
Bhopal,Organic,1667,72,4071,10,Landfill,1400,10,Bhopal Landfill,"18.3203, 75.8314",83130,1970,5.684955097902581,1.549292517746542,3.559617005535264,7.602413033286103,73.16547516634773
Bengaluru,Plastic,3739,43,18195,5,Recycling,2073,9,Bengaluru Landfill,"15.7581, 85.4837",52609,1970,4.3966781526734815,7.1028438761967045,5.637469951315015,4.505139145570563,41.93566287374562
Thiruvananthapuram,Organic,8796,81,18418,9,Incineration,2365,1,Thiruvananthapuram Landfill,"17.2935, 83.4447",30373,1970,2.494440072415797,3.632459619818887,4.095828498827274,8.132291875951456,79.82814465336449
Coimbatore,E-Waste,6743,52,12073,6,Landfill,4958,10,Coimbatore Landfill,"31.9729, 76.5516",98572,1970,4.879115262047058,9.574987971601916,4.625162692477132,5.377438071228295,54.1817233412074
Meerut,Hazardous,1623,66,7178,10,Landfill,3495,6,Meerut Landfill,"14.3552, 72.9863",56989,1970,4.533861535317866,8.251636701658,3.103972187771749,7.091962747238644,66.39736001909482
Thiruvananthapuram,E-Waste,1484,57,18418,9,Recycling,1031,9,Thiruvananthapuram Landfill,"17.2935, 83.4447",30373,1970,5.325551547861596,5.9350437168448575,6.090864590211562,5.303265008875049,57.65821355742026
Gwalior,Hazardous,3629,34,11280,8,Incineration,4718,14,Gwalior Landfill,"10.9566, 91.6565",54460,1970,6.936017986992783,9.821196767816597,6.045819667368876,3.0899361364575606,32.83018469316446
Ludhiana,Organic,8621,38,8678,9,Landfill,583,5,Ludhiana Landfill,"10.3062, 77.427",69241,1970,3.7930334388272606,2.1762217674901096,2.8038929296486668,4.105432329299986,36.77722950522274
Surat,Construction,8728,46,24032,10,Incineration,739,13,Surat Landfill,"32.805, 89.0238",38471,1970,7.394775422451061,6.336976843573048,7.97207587069332,4.211592999957247,47.52805956314572
Agra,E-Waste,3467,69,4629,5,Recycling,2682,18,Agra Landfill,"32.4069, 92.1176",82082,1970,7.48308145730262,8.621118920125278,5.915905895830735,6.867681212484877,64.84437636028761
Ahmedabad,E-Waste,6409,76,9464,7,Incineration,2025,2,Ahmedabad Landfill,"19.3868, 72.7845",69399,1970,2.250050152689216,7.54633698902179,2.197276641789305,7.589392537406589,79.71540468707546
Delhi,E-Waste,1426,38,14376,5,Composting,1674,2,Delhi Landfill,"30.2591, 91.9376",74509,1970,1.7046175829891386,6.4677098217278175,3.673629205244707,3.89685187688776,36.39435111209831
Jaipur,E-Waste,5899,68,2335,5,Incineration,1058,14,Jaipur Landfill,"11.6909, 94.4267",71127,1970,6.01209646981576,7.410201756586377,3.7457155651283194,6.485270355383324,69.28108587014955
Lucknow,Organic,4261,36,23465,6,Incineration,1107,19,Lucknow Landfill,"10.3904, 81.8808",80251,1970,8.141728170855565,3.777364687134649,10.0,4.020739650342636,38.13675866738803
Hyderabad,Hazardous,4592,69,7927,10,Composting,4701,12,Hyderabad Landfill,"34.069, 82.1518",34239,1970,6.570217235093578,9.79943938824253,4.922180802781575,6.963408364483854,69.10239580376216
Jaipur,E-Waste,3448,85,2335,10,Landfill,1049,3,Jaipur Landfill,"11.6909, 94.4267",71127,1970,3.4776024989699263,6.416695568116687,1.0,8.845120851496034,87.62396747714789
Jodhpur,E-Waste,2888,51,6465,5,Composting,3432,1,Jodhpur Landfill,"8.9824, 77.0472",45318,1970,1.397058858896718,8.783880414354277,1.1576078536656151,4.875239181037008,52.92060959256294
Kanpur,Plastic,1685,32,18697,6,Composting,4424,12,Kanpur Landfill,"13.0189, 89.182",22690,1970,5.460397186765411,7.725303123618644,7.309552662472295,3.2657815548409963,32.91561121985157
Ranchi,Plastic,9721,30,17422,8,Composting,1126,7,Ranchi Landfill,"13.4978, 84.8338",98646,1970,4.160780945678061,7.89037882201108,5.142152360747023,2.895155297472305,31.992236429822256
Kanpur,Hazardous,9047,65,18697,6,Recycling,4499,12,Kanpur Landfill,"13.0189, 89.182",22690,1970,5.789281661802706,9.084878107966524,6.761745704218589,6.019155485551253,64.92998477998754
Madurai,Organic,6764,40,19454,8,Composting,4083,6,Madurai Landfill,"13.1884, 95.8263",51929,1970,3.855498939499404,3.964692001077371,5.890846141156725,4.179633182395143,41.26732204954812
Allahabad,Plastic,6010,71,19181,5,Incineration,915,0,Allahabad Landfill,"35.9642, 87.6951",35432,1970,1.0,5.959524388591526,4.242467698121539,7.595568900490687,74.3124165041146
Coimbatore,Construction,1031,36,12073,8,Composting,4921,17,Coimbatore Landfill,"31.9729, 76.5516",98572,1970,8.469812616930145,8.63770740107871,6.933338336416874,3.657040513275035,38.07217530209251
Allahabad,Organic,5920,54,19181,6,Recycling,2492,6,Allahabad Landfill,"35.9642, 87.6951",35432,1970,3.5286424881899925,2.9811058188476585,5.732973892924786,5.572507262673649,53.22351389295692
Kanpur,Hazardous,9223,67,18697,5,Recycling,902,8,Kanpur Landfill,"13.0189, 89.182",22690,1970,3.8501621187121,6.139792789693763,5.967144223854566,6.545083745513233,68.56574746989715
Nagpur,Plastic,6612,31,19087,5,Recycling,1468,17,Nagpur Landfill,"35.7049, 71.8706",49830,1970,7.699100055839242,6.9200261940039685,8.22712135646995,3.4848551176960045,35.42506207879448
Ahmedabad,Construction,690,30,9464,6,Composting,2807,8,Ahmedabad Landfill,"19.3868, 72.7845",69399,1970,4.312859077611192,8.689084656210468,3.609844227188282,3.0793144666619376,32.933081718557204
Lucknow,Plastic,5485,69,23465,9,Recycling,1887,17,Lucknow Landfill,"10.3904, 81.8808",80251,1970,8.518042752614425,6.155654382143628,8.874009420596671,6.886130485214925,68.20754064379648
Rajkot,Construction,3412,69,23232,8,Incineration,2332,12,Rajkot Landfill,"30.6193, 68.7432",62818,1970,6.071818768445753,7.910525260004492,7.7254146328418205,7.290384320855265,67.09817854062554
Bengaluru,Plastic,7075,84,18195,6,Incineration,4993,15,Bengaluru Landfill,"15.7581, 85.4837",52609,1970,7.143687976546195,7.348748113241768,7.546706702486231,8.067357032236782,88.09372439143911
Allahabad,Construction,3618,73,19181,5,Recycling,1318,12,Allahabad Landfill,"35.9642, 87.6951",35432,1970,5.6134678106160765,6.33887373884761,6.631045223919215,7.126941024336675,75.14073032045987
Chennai,Organic,7743,64,21430,7,Recycling,2483,20,Chennai Landfill,"29.4633, 80.8873",65486,1970,8.966680822527632,3.075348885233219,9.915438297508254,6.762996831358872,63.04470883479199
Hyderabad,Organic,1013,80,7927,8,Composting,823,3,Hyderabad Landfill,"34.069, 82.1518",34239,1970,2.81879436338074,1.292521849672755,2.4943909958111408,8.309023640291676,83.87030808012045
Varanasi,E-Waste,1352,59,7976,6,Incineration,1699,11,Varanasi Landfill,"35.156, 83.0516",79314,1970,5.188240895835884,7.354688190176218,4.49390297100909,6.152468337586495,60.07525980589976
Gwalior,Hazardous,1827,49,11280,7,Incineration,1661,9,Gwalior Landfill,"10.9566, 91.6565",54460,1970,4.870262641962516,7.95027308498991,4.130547242755956,4.420934117826733,48.16674938876908
Indore,Construction,4596,77,2929,6,Composting,2361,8,Indore Landfill,"24.6237, 95.1044",61142,1970,4.433894791476956,7.000526757715924,2.383467394934735,7.250349526969353,75.37397125547974
Vadodara,Hazardous,6592,45,21598,5,Incineration,4874,20,Vadodara Landfill,"31.3853, 71.6585",24927,1970,8.09198767515545,8.867579175095404,9.865005911687524,4.068450452566017,45.31892501360826
Kolkata,Plastic,6343,80,17335,7,Recycling,1064,17,Kolkata Landfill,"16.068, 72.6096",80985,1970,8.081350665803345,8.403441971397745,8.001482071399144,7.729365777037673,78.56596770174413
Bhopal,E-Waste,2177,52,4071,7,Composting,3857,10,Bhopal Landfill,"18.3203, 75.8314",83130,1970,5.218845550674111,6.788733955792488,3.576340466524748,5.231454914189305,58.48618593918947
Bengaluru,E-Waste,8114,56,18195,8,Recycling,4323,6,Bengaluru Landfill,"15.7581, 85.4837",52609,1970,4.144747113362316,6.58501344948368,5.032401432450904,5.735940326826711,57.681468964259096
Agra,Organic,692,64,4629,6,Landfill,4055,15,Agra Landfill,"32.4069, 92.1176",82082,1970,6.72153270937908,4.328666673037824,5.126879322701488,6.189439521619488,64.05691516236632
Ludhiana,Organic,5285,39,8678,10,Incineration,4781,13,Ludhiana Landfill,"10.3062, 77.427",69241,1970,7.311846924561645,3.904873900604178,4.577422649680468,3.791910562943909,39.72623125548905
